2026-09-04 10:00:01 | 192.168.1.50 | SSH | FAILED_LOGIN | root
2026-09-05 23:30:30 | 10.0.0.90 | SSH | COMMAND_EXECUTION | whoami
2026-09-06 22:00:01 | 10.0.0.100 | SSH | FAILED_LOGIN | admin
2026-09-06 22:00:05 | 10.0.0.100 | SSH | FAILED_LOGIN | admin
2026-09-06 22:00:09 | 10.0.0.100 | SSH | FAILED_LOGIN | admin
2026-09-06 22:00:13 | 10.0.0.100 | SSH | FAILED_LOGIN | admin
2026-09-06 22:00:17 | 10.0.0.100 | SSH | FAILED_LOGIN | admin
2026-09-06 22:00:25 | 10.0.0.100 | SSH | SUCCESSFUL_LOGIN | admin
2026-09-06 22:00:30 | 10.0.0.100 | SSH | COMMAND_EXECUTION | whoami
2026-09-10 21:34:54 | 10.0.0.200 | Windows | FAILED_LOGIN | Live dashboard test
2026-09-10 21:35:47 | 10.0.0.210 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 21:35:48 | 10.0.0.210 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 21:35:48 | 10.0.0.210 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 21:35:49 | 10.0.0.210 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 21:35:49 | 10.0.0.210 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 21:37:04 | 10.0.0.210 | Windows | SUCCESSFUL_LOGIN | Successful authentication after failed attempts
2026-09-10 21:38:03 | 10.0.0.210 | Windows | COMMAND_EXECUTION | Suspicious command executed
2026-09-10 23:06:42 | 10.0.0.220 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:06:43 | 10.0.0.220 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:06:43 | 10.0.0.220 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:06:44 | 10.0.0.220 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:06:44 | 10.0.0.220 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:07:05 | 10.0.0.221 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:07:06 | 10.0.0.221 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:07:06 | 10.0.0.221 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:07:07 | 10.0.0.221 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:07:07 | 10.0.0.221 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:07:13 | 10.0.0.221 | Windows | SUCCESSFUL_LOGIN | Successful authentication
2026-09-10 23:07:18 | 10.0.0.221 | Windows | COMMAND_EXECUTION | Suspicious command executed
2026-09-10 23:11:23 | 10.0.0.230 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:11:23 | 10.0.0.230 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:11:24 | 10.0.0.230 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:11:24 | 10.0.0.230 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:11:25 | 10.0.0.230 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:12:23 | 10.0.0.231 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:12:24 | 10.0.0.231 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:12:24 | 10.0.0.231 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:12:25 | 10.0.0.231 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:12:25 | 10.0.0.231 | Windows | FAILED_LOGIN | Invalid password attempt
2026-09-10 23:12:28 | 10.0.0.231 | Windows | SUCCESSFUL_LOGIN | Successful authentication
2026-09-10 23:12:32 | 10.0.0.231 | Windows | COMMAND_EXECUTION | Suspicious command executed
